Time(h)	Light  
12.8089	1500	   
12.8256	1500	   
12.8423	1500	   
12.859	1500	   
12.8757	1500	   
12.8924	1500	   
12.9091	1500	   
12.9258	1500	   
12.9425	50	   
12.9592	50	   
12.9759	50	   
12.9926	50	   
13.0093	50	   
13.026	50	   
13.0427	50	   
13.0594	50	   
13.0761	50	   
13.0928	50	   
13.1095	50	   
13.1262	50	   
13.1429	50	   
13.1596	50	   
13.1763	50	   
13.193	50	   
13.2097	50	   
13.2264	50	   
13.2431	50	   
13.2598	50	   
13.2765	50	   
13.2932	50	   
13.3099	50	   
13.3266	50	   
13.3433	50	   
13.36	50	   
13.3767	50	   
13.3934	50	   
13.4101	50	   
13.4268	50	   
13.4435	1500	   
13.4602	1500	   
13.4769	1500	   
13.4936	1500	   
13.5103	1500	   
13.527	1500	   
13.5437	1500	   
13.5604	1500	   
13.5771	1500	   
13.5938	50	   
13.6105	50	   
13.6272	50	   
13.6439	50	   
13.6606	50	   
13.6773	50	   
13.694	50	   
13.7107	50	   
13.7274	50	   
13.7441	50	   
13.7608	50	   
13.7775	50	   
13.7942	50	   
13.8109	50	   
13.8276	50	   
13.8443	50	   
13.861	50	   
13.8777	50	   
13.8944	50	   
13.9111	50	   
13.9278	50	   
13.9445	50	   
13.9612	50	   
13.9779	50	   
13.9946	50	   
14.0113	50	   
14.028	50	   
14.0447	50	   
14.0614	50	   
14.0781	50	   
14.0948	1500	   
14.1115	1500	   
14.1282	1500	   
14.1449	1500	   
14.1616	1500	   
14.1783	1500	   
14.195	1500	   
14.2117	1500	   
14.2284	1500	 
